Timestamp,Violation Type,Confidence
2026-05-11 09:38:00,No Helmet,0.81
2026-05-11 09:38:03,No Helmet,0.82
2026-05-11 09:38:05,No Helmet,0.79
2026-05-11 09:38:07,No Helmet,0.82
2026-05-11 09:38:09,No Helmet,0.82
2026-05-11 09:38:11,No Helmet,0.82
2026-05-11 09:38:13,No Helmet,0.79
2026-05-11 09:38:15,No Helmet,0.80
2026-05-11 09:38:17,No Helmet,0.81
2026-05-11 09:38:20,No Helmet,0.80
2026-05-11 09:38:22,No Helmet,0.80
2026-05-11 09:38:24,No Helmet,0.81
2026-05-11 09:38:26,No Helmet,0.80
2026-05-11 09:38:28,No Helmet,0.81
2026-05-11 09:38:30,No Helmet,0.82
2026-05-11 09:38:32,No Helmet,0.80
2026-05-11 09:38:34,No Helmet,0.77
2026-05-11 10:37:48,No Helmet,0.87
2026-05-11 10:37:51,No Helmet,0.85
2026-05-11 10:37:53,No Helmet,0.86
2026-05-11 10:37:56,No Helmet,0.89
2026-05-11 10:38:36,No Helmet,0.89
2026-05-11 10:38:48,No Helmet,0.86
2026-05-11 10:40:18,No Helmet,0.77
2026-05-11 10:40:21,No Helmet,0.81
2026-05-11 10:40:23,No Helmet,0.75
2026-05-11 10:40:27,No Helmet,0.74
2026-05-11 10:40:29,No Helmet,0.82
2026-05-11 10:40:31,No Helmet,0.78
2026-05-11 10:40:33,No Helmet,0.82
2026-05-11 10:40:35,No Helmet,0.83
2026-05-11 10:40:37,No Helmet,0.84
2026-05-11 10:40:40,No Helmet,0.83
2026-05-11 10:40:42,No Helmet,0.75
2026-05-11 10:40:44,No Helmet,0.81
2026-05-11 10:40:46,No Helmet,0.83
2026-05-11 10:40:48,No Helmet,0.82
2026-05-11 10:40:50,No Helmet,0.83
2026-05-11 10:40:52,No Helmet,0.82
2026-05-11 10:40:54,No Helmet,0.84
2026-05-11 10:40:57,No Helmet,0.84
2026-05-11 10:40:59,No Helmet,0.84
2026-05-11 10:41:01,No Helmet,0.85
2026-05-11 10:41:03,No Helmet,0.82
2026-05-11 10:41:05,No Helmet,0.84
2026-05-11 10:41:07,No Helmet,0.88
2026-05-11 10:41:09,No Helmet,0.87
2026-05-11 10:41:12,No Helmet,0.84
2026-05-11 10:41:14,No Helmet,0.85
2026-05-11 10:44:14,No Helmet,0.87
2026-05-11 10:44:16,No Helmet,0.85
2026-05-11 10:44:18,No Helmet,0.86
2026-05-11 10:44:21,No Helmet,0.84
2026-05-11 10:44:23,No Helmet,0.82
2026-05-11 10:44:25,No Helmet,0.83
2026-05-11 10:44:28,No Helmet,0.80
2026-05-11 10:44:30,No Helmet,0.77
2026-05-11 10:44:34,No Helmet,0.77
